dimension_type,dimension_value,year_month,monthly_sales,prev_month_sales,mom_growth_pct
category,Furniture,2022-01,97020.25,,
category,Furniture,2022-02,120871.58,97020.25,24.58
category,Furniture,2022-03,170972.96,120871.58,41.45
category,Furniture,2022-04,215273.77,170972.96,25.91
category,Furniture,2022-05,247215.72,215273.77,14.84
category,Furniture,2022-06,175374.61,247215.72,-29.06
category,Furniture,2022-07,188870.97,175374.61,7.7
category,Furniture,2022-08,158214.47,188870.97,-16.23
category,Furniture,2022-09,183895.67,158214.47,16.23
category,Furniture,2022-10,228561.99,183895.67,24.29
category,Furniture,2022-11,332036.32,228561.99,45.27
category,Furniture,2022-12,405466.88,332036.32,22.12
category,Furniture,2023-01,201454.5,405466.88,-50.32
category,Furniture,2023-02,148223.69,201454.5,-26.42
category,Furniture,2023-03,190511.19,148223.69,28.53
category,Furniture,2023-04,185739.9,190511.19,-2.5
category,Furniture,2023-05,213451.79,185739.9,14.92
category,Furniture,2023-06,183211.76,213451.79,-14.17
category,Furniture,2023-07,176681.81,183211.76,-3.56
category,Furniture,2023-08,153383.8,176681.81,-13.19
category,Furniture,2023-09,200584.22,153383.8,30.77
category,Furniture,2023-10,287262.54,200584.22,43.21
category,Furniture,2023-11,336254.34,287262.54,17.05
category,Furniture,2023-12,378806.55,336254.34,12.65
category,Furniture,2024-01,179172.86,378806.55,-52.7
category,Furniture,2024-02,191559.17,179172.86,6.91
category,Furniture,2024-03,143827.74,191559.17,-24.92
category,Furniture,2024-04,187097.44,143827.74,30.08
category,Furniture,2024-05,168567.76,187097.44,-9.9
category,Furniture,2024-06,191022.52,168567.76,13.32
category,Furniture,2024-07,195125.17,191022.52,2.15
category,Furniture,2024-08,188611.26,195125.17,-3.34
category,Furniture,2024-09,151080.85,188611.26,-19.9
category,Furniture,2024-10,211974.41,151080.85,40.31
category,Furniture,2024-11,345489.43,211974.41,62.99
category,Furniture,2024-12,331964.55,345489.43,-3.91
category,Furniture,2025-01,181743.43,331964.55,-45.25
category,Furniture,2025-02,135111.64,181743.43,-25.66
category,Furniture,2025-03,206133.43,135111.64,52.57
category,Furniture,2025-04,190154.34,206133.43,-7.75
category,Furniture,2025-05,237540.33,190154.34,24.92
category,Furniture,2025-06,213416.23,237540.33,-10.16
category,Furniture,2025-07,208871.06,213416.23,-2.13
category,Furniture,2025-08,203554.61,208871.06,-2.55
category,Furniture,2025-09,160495.16,203554.61,-21.15
category,Furniture,2025-10,234709.02,160495.16,46.24
category,Furniture,2025-11,378049.89,234709.02,61.07
category,Furniture,2025-12,341735.51,378049.89,-9.61
category,Office Supplies,2022-01,18201.48,,
category,Office Supplies,2022-02,21152.94,18201.48,16.22
category,Office Supplies,2022-03,24897.07,21152.94,17.7
category,Office Supplies,2022-04,26456.76,24897.07,6.26
category,Office Supplies,2022-05,30686.63,26456.76,15.99
category,Office Supplies,2022-06,25294.17,30686.63,-17.57
category,Office Supplies,2022-07,27682.4,25294.17,9.44
category,Office Supplies,2022-08,27771.79,27682.4,0.32
category,Office Supplies,2022-09,29384.73,27771.79,5.81
category,Office Supplies,2022-10,28809.72,29384.73,-1.96
category,Office Supplies,2022-11,43348.73,28809.72,50.47
category,Office Supplies,2022-12,45979.1,43348.73,6.07
category,Office Supplies,2023-01,22598.16,45979.1,-50.85
category,Office Supplies,2023-02,16925.21,22598.16,-25.1
category,Office Supplies,2023-03,25371.48,16925.21,49.9
category,Office Supplies,2023-04,24352.65,25371.48,-4.02
category,Office Supplies,2023-05,26265.84,24352.65,7.86
category,Office Supplies,2023-06,23073.04,26265.84,-12.16
category,Office Supplies,2023-07,23279.65,23073.04,0.9
category,Office Supplies,2023-08,28053.79,23279.65,20.51
category,Office Supplies,2023-09,27130.3,28053.79,-3.29
category,Office Supplies,2023-10,30831.32,27130.3,13.64
category,Office Supplies,2023-11,42548.08,30831.32,38.0
category,Office Supplies,2023-12,49448.11,42548.08,16.22
category,Office Supplies,2024-01,27348.33,49448.11,-44.69
category,Office Supplies,2024-02,25869.05,27348.33,-5.41
category,Office Supplies,2024-03,20628.95,25869.05,-20.26
category,Office Supplies,2024-04,24187.71,20628.95,17.25
category,Office Supplies,2024-05,26899.55,24187.71,11.21
category,Office Supplies,2024-06,27760.97,26899.55,3.2
category,Office Supplies,2024-07,25891.03,27760.97,-6.74
category,Office Supplies,2024-08,24575.73,25891.03,-5.08
category,Office Supplies,2024-09,28299.8,24575.73,15.15
category,Office Supplies,2024-10,27551.9,28299.8,-2.64
category,Office Supplies,2024-11,41916.96,27551.9,52.14
category,Office Supplies,2024-12,47975.54,41916.96,14.45
category,Office Supplies,2025-01,21145.53,47975.54,-55.92
category,Office Supplies,2025-02,20589.18,21145.53,-2.63
category,Office Supplies,2025-03,18144.06,20589.18,-11.88
category,Office Supplies,2025-04,24201.13,18144.06,33.38
category,Office Supplies,2025-05,27578.3,24201.13,13.95
category,Office Supplies,2025-06,25938.14,27578.3,-5.95
category,Office Supplies,2025-07,23542.85,25938.14,-9.23
category,Office Supplies,2025-08,26803.28,23542.85,13.85
category,Office Supplies,2025-09,23186.47,26803.28,-13.49
category,Office Supplies,2025-10,26650.64,23186.47,14.94
category,Office Supplies,2025-11,46033.93,26650.64,72.73
category,Office Supplies,2025-12,45430.96,46033.93,-1.31
category,Technology,2022-01,107158.23,,
category,Technology,2022-02,139248.5,107158.23,29.95
category,Technology,2022-03,220222.38,139248.5,58.15
category,Technology,2022-04,292595.66,220222.38,32.86
category,Technology,2022-05,249433.54,292595.66,-14.75
category,Technology,2022-06,280370.1,249433.54,12.4
category,Technology,2022-07,217579.12,280370.1,-22.4
category,Technology,2022-08,195214.99,217579.12,-10.28
category,Technology,2022-09,230482.26,195214.99,18.07
category,Technology,2022-10,320132.44,230482.26,38.9
category,Technology,2022-11,439590.72,320132.44,37.32
category,Technology,2022-12,454716.7,439590.72,3.44
category,Technology,2023-01,256056.02,454716.7,-43.69
category,Technology,2023-02,200275.02,256056.02,-21.78
category,Technology,2023-03,257135.81,200275.02,28.39
category,Technology,2023-04,272931.38,257135.81,6.14
category,Technology,2023-05,230445.37,272931.38,-15.57
category,Technology,2023-06,202256.33,230445.37,-12.23
category,Technology,2023-07,239899.15,202256.33,18.61
category,Technology,2023-08,230948.9,239899.15,-3.73
category,Technology,2023-09,299179.01,230948.9,29.54
category,Technology,2023-10,339837.69,299179.01,13.59
category,Technology,2023-11,475331.25,339837.69,39.87
category,Technology,2023-12,509729.19,475331.25,7.24
category,Technology,2024-01,197755.14,509729.19,-61.2
category,Technology,2024-02,199394.9,197755.14,0.83
category,Technology,2024-03,234903.61,199394.9,17.81
category,Technology,2024-04,252542.41,234903.61,7.51
category,Technology,2024-05,229611.69,252542.41,-9.08
category,Technology,2024-06,249347.26,229611.69,8.6
category,Technology,2024-07,187138.76,249347.26,-24.95
category,Technology,2024-08,306163.66,187138.76,63.6
category,Technology,2024-09,242802.11,306163.66,-20.7
category,Technology,2024-10,301313.0,242802.11,24.1
category,Technology,2024-11,405243.11,301313.0,34.49
category,Technology,2024-12,448918.79,405243.11,10.78
category,Technology,2025-01,257967.95,448918.79,-42.54
category,Technology,2025-02,239609.17,257967.95,-7.12
category,Technology,2025-03,193557.98,239609.17,-19.22
category,Technology,2025-04,242734.82,193557.98,25.41
category,Technology,2025-05,310340.28,242734.82,27.85
category,Technology,2025-06,261445.56,310340.28,-15.76
category,Technology,2025-07,238099.73,261445.56,-8.93
category,Technology,2025-08,199004.6,238099.73,-16.42
category,Technology,2025-09,253356.95,199004.6,27.31
category,Technology,2025-10,293667.39,253356.95,15.91
category,Technology,2025-11,440863.3,293667.39,50.12
category,Technology,2025-12,495399.33,440863.3,12.37
region,Central,2022-01,67860.0,,
region,Central,2022-02,79717.38,67860.0,17.47
region,Central,2022-03,56830.48,79717.38,-28.71
region,Central,2022-04,117532.76,56830.48,106.81
region,Central,2022-05,118215.02,117532.76,0.58
region,Central,2022-06,124986.23,118215.02,5.73
region,Central,2022-07,91342.62,124986.23,-26.92
region,Central,2022-08,66596.43,91342.62,-27.09
region,Central,2022-09,72853.15,66596.43,9.39
region,Central,2022-10,137170.12,72853.15,88.28
region,Central,2022-11,240932.39,137170.12,75.64
region,Central,2022-12,208631.48,240932.39,-13.41
region,Central,2023-01,108646.82,208631.48,-47.92
region,Central,2023-02,77804.17,108646.82,-28.39
region,Central,2023-03,106306.16,77804.17,36.63
region,Central,2023-04,126248.63,106306.16,18.76
region,Central,2023-05,124137.6,126248.63,-1.67
region,Central,2023-06,85644.72,124137.6,-31.01
region,Central,2023-07,187329.34,85644.72,118.73
region,Central,2023-08,142165.86,187329.34,-24.11
region,Central,2023-09,130636.32,142165.86,-8.11
region,Central,2023-10,194007.79,130636.32,48.51
region,Central,2023-11,234508.36,194007.79,20.88
region,Central,2023-12,219224.77,234508.36,-6.52
region,Central,2024-01,85187.93,219224.77,-61.14
region,Central,2024-02,92220.56,85187.93,8.26
region,Central,2024-03,76822.64,92220.56,-16.7
region,Central,2024-04,106061.18,76822.64,38.06
region,Central,2024-05,109160.0,106061.18,2.92
region,Central,2024-06,87311.12,109160.0,-20.02
region,Central,2024-07,93421.69,87311.12,7.0
region,Central,2024-08,106912.67,93421.69,14.44
region,Central,2024-09,88763.51,106912.67,-16.98
region,Central,2024-10,153506.11,88763.51,72.94
