dimension_type,dimension_value,year_month,monthly_sales,same_month_last_year_sales,yoy_growth_pct
category,Furniture,2022-01,97020.25,,
category,Furniture,2022-02,120871.58,,
category,Furniture,2022-03,170972.96,,
category,Furniture,2022-04,215273.77,,
category,Furniture,2022-05,247215.72,,
category,Furniture,2022-06,175374.61,,
category,Furniture,2022-07,188870.97,,
category,Furniture,2022-08,158214.47,,
category,Furniture,2022-09,183895.67,,
category,Furniture,2022-10,228561.99,,
category,Furniture,2022-11,332036.32,,
category,Furniture,2022-12,405466.88,,
category,Furniture,2023-01,201454.5,97020.25,107.64
category,Furniture,2023-02,148223.69,120871.58,22.63
category,Furniture,2023-03,190511.19,170972.96,11.43
category,Furniture,2023-04,185739.9,215273.77,-13.72
category,Furniture,2023-05,213451.79,247215.72,-13.66
category,Furniture,2023-06,183211.76,175374.61,4.47
category,Furniture,2023-07,176681.81,188870.97,-6.45
category,Furniture,2023-08,153383.8,158214.47,-3.05
category,Furniture,2023-09,200584.22,183895.67,9.08
category,Furniture,2023-10,287262.54,228561.99,25.68
category,Furniture,2023-11,336254.34,332036.32,1.27
category,Furniture,2023-12,378806.55,405466.88,-6.58
category,Furniture,2024-01,179172.86,201454.5,-11.06
category,Furniture,2024-02,191559.17,148223.69,29.24
category,Furniture,2024-03,143827.74,190511.19,-24.5
category,Furniture,2024-04,187097.44,185739.9,0.73
category,Furniture,2024-05,168567.76,213451.79,-21.03
category,Furniture,2024-06,191022.52,183211.76,4.26
category,Furniture,2024-07,195125.17,176681.81,10.44
category,Furniture,2024-08,188611.26,153383.8,22.97
category,Furniture,2024-09,151080.85,200584.22,-24.68
category,Furniture,2024-10,211974.41,287262.54,-26.21
category,Furniture,2024-11,345489.43,336254.34,2.75
category,Furniture,2024-12,331964.55,378806.55,-12.37
category,Furniture,2025-01,181743.43,179172.86,1.43
category,Furniture,2025-02,135111.64,191559.17,-29.47
category,Furniture,2025-03,206133.43,143827.74,43.32
category,Furniture,2025-04,190154.34,187097.44,1.63
category,Furniture,2025-05,237540.33,168567.76,40.92
category,Furniture,2025-06,213416.23,191022.52,11.72
